#,#
% of total,Жами %
(no name),(исмсиз)
No access,
No account rows,
No account? Ask your system administrator for an invite.,"Ҳисобингиз йўқ бўлса, тизим администраторидан таклиф сўранг."
No acquisition board is available for your role.,Ролингиз учун харидлар панели мавжуд эмас.
no action from you,сиздан ҳаракат талаб қилинмайди
"no action, awaiting outcome","ҳаракат йўқ, натижа кутилмоқда"
No active customs declarations or won lots in the pipeline.,Жараёнда фаол божхона декларациялари ёки ютилган лотлар йўқ.
No active shipments or won lots in the pipeline.,Жараёнда фаол жўнатмалар ёки ютилган лотлар йўқ.
No active tenders found for {0}.,{0} учун фаол тендерлар топилмади.
No activity recorded yet.,
No advance ledger movements yet.,Ҳозирча аванс ҳаракатлари йўқ.
No advance payments yet.,Ҳозирча аванс тўловлари йўқ.
No advances yet.,Ҳали аванслар йўқ.
No agreements match that search,Бундай шартнома топилмади
No approved veterinary certificate exists for this shipment. The submit will be rejected unless an Imports Manager set an override. Continue anyway?,Ушбу етказиб бериш учун тасдиқланган ветеринария сертификати йўқ. Импорт менежери четлаб ўтишни ўрнатмагунча тасдиқлаш рад этилади. Барибир давом этилсинми?
No ARCA payment events yet.,Ҳалиғача ARCA тўлов воқеалари йўқ.
No arrived trucks are waiting to be received for this shipment.,Ушбу етказиб бериш учун қабулни кутаётган келган машиналар йўқ.
No attendance for this month.,Бу ой учун давомат йўқ.
No attendance records,Давомат ёзувлари йўқ
No attendance summaries for this period,Бу давр учун давомат ҳисоботлари йўқ
No backups on disk yet. Click “Back up now”.,Дискда ҳали захира йўқ. «Ҳозир захиралаш»ни босинг.
No bills in this range,Бу диапазонда счётлар йўқ
No blockers,Тўсиқ йўқ
No BOMs yet,Ҳозирча спецификациялар йўқ
No budget data for this period,
No budgets found,
No cash/bank account in this currency.,Бу валютада касса/банк ҳисоби йўқ.
No cash/bank accounts found for this company.,Бу компания учун касса/банк ҳисоблари топилмади.
No cashiers yet,Ҳозирча кассирлар йўқ
No categories found,Турғунлар топилмади
No category on the line,Қаторда категория кўрсатилмаган
No CBU exchange rate found for {0} to {1} on or before {2}.,
No check-out,Чиқиш йўқ
No child records.,Тобе ёзувлар йўқ.
No claim selected.,Даво танланмаган.
No claims yet,Ҳалиғача даволар йўқ
No columns,Устунлар йўқ
No comments yet.,Ҳали изоҳ йўқ.
No commercial invoices,Тижорат инвойслари йўқ
No commercial invoices reach their transit ETA in the next 7 days.,Кейинги 7 кун ичида ҳеч бир инвойс транзит ETA га етмайди.
No company is configured.,
No company selected,Компания танланмаган
No contact details recorded.,Алоқа маълумотлари киритилмаган.
No container cost lines have been entered for this invoice.,Ушбу инвойс учун контейнер харажат қаторлари киритилмаган.
No container is behind the invoice.,Ҳеч бир контейнер инвойсдан орқада эмас.
No containers,Контейнерлар йўқ
No containers or freight bookings match your filter criteria.,Филтр шартларига мос контейнер ёки юк ташиш бронлаши топилмади.
No correction requests,
No corrections are waiting for review.,
No corrections found for this status.,
"No cost items yet — add transport, customs, certification…","Ҳозирча харажат йўқ — транспорт, божхона, сертификатлаш қўшинг…"
No cost lines,Харажат қаторлари йўқ
No cost lines yet.,Ҳозирча харажат қаторлари йўқ.
"No cost lines, bills or advances are linked to this container.","Бу контейнерга харажатлар, ҳисоб-фактуралар ёки аванслар боғланмаган."
No cost lines.,Харажат қаторлари йўқ.
No coverage,Қамров йўқ
No creditors found.,Кредиторлар топилмади.
No custom allowances. Click Add to create one.,
No customers,Мижозлар йўқ
No customers match that name,Шу номга мос мижозлар йўқ
No customs declaration on this invoice is marked as required for departure.,Бу инвойсдаги ҳеч бир божхона декларацияси чиқиш учун мажбурий деб белгиланмаган.
No customs declarations,Божхона декларациялари йўқ
No data,Маълумот йўқ
No data for the selected range,Танланган диапазон учун маълумот йўқ
No data gaps found for this company.,Бу компанияда маълумот бўшлиқлари йўқ.
no date set,сана белгиланмаган
No deals,Битимлар йўқ
No debtors found.,
No deductions,Ушланмалар йўқ
No default Bank or Cash account configured for company {0}.,Компания {0} учун асосий Банк ёки Касса ҳисобчики мўлжаланмаган.
No default receivable account is configured for this company.,Ушбу компания учун стандарт дебиторлик ҳисоби созланмаган.
No default warehouse configured for {0}. Set a default warehouse in Company settings.,{0} учун сукут бўйича омбор созланмаган. Компания созламаларида омборни белгиланг.
No default {0} account found to copy parent from.,
No department,Бўлимсиз
No deviations — every shipped line agrees with its PI.,Оғиш йўқ — ҳар бир жўнатилган қатор ўз PIсига мос.
No differences between the selected proformas.,Танланган проформалар орасида фарқ йўқ.
No document requirements set.,Ҳужжат талаблари белгиланмаган.
No document requirements yet. Add them in Tender details.,Hárshe hujjat talapları joq. Olardı Tender tolıqlıqlarında qosıń.
"No documents yet — add the standard set (ГТД, certificate, acceptance act…).","Ҳозирча ҳужжат йўқ — стандарт тўпламни қўшинг (ГТД, сертификат, далолатнома…)."
No E-IMZO keys found. Insert your key and reload E-IMZO.,
No earnings,Ҳисобланганлар йўқ
No EHF submissions yet. Submit a Sales Invoice to enqueue one.,Ҳалиғача EHF жунатмалари йўқ. Қуймаға қўшиш учун Сотув счётини жунатинг.
No eligible proformas,Мос проформа йўқ
No employee account yet — record an advance first.,Ҳали ходим ҳисоби йўқ — аввал аванс киритинг.
No Employee Advances account configured.,Аванс ҳисоби созланмаган.
No Employee Advances account is configured for {0}. Set the company's ,
No employees found.,Ходимлар топилмади.
No employees yet,Ҳозирча ходимлар йўқ
No employees.,Ходимлар йўқ.
No employee–device mappings,
No enabled Stabler Payroll Component Map found for company {0}. ,
No entries match these filters.,Бу фильтрларга мос ёзув йўқ.
No equipment found.,Жиҳоз топилмади.
No equipment yet,Ҳалиғача ускуналар йўқ
No exceptions found,
No exceptions.,
No exchange rate available from {0} to {1} on {2}.,{2}-да {0} дан {1} гача алмаштириш курси йўқ.
No exchange rate for this date — enter manually.,Ушбу сана учун курс йўқ — қўлда киритинг.
No exchange rate found for this invoice date — landed cost cannot be calculated. Enter a rate above or add the CBU rate.,Ушбу ҳисоб-фактура санаси учун курс топилмади — якуний таннархни ҳисоблаб бўлмайди. Юқорида курс киритинг ёки МБ курсини қўшинг.
No exchange rate found for {0} to {1} on {2},
No exchange rate found for {0} to {1} on {2}: {3},
"No exchange rate is published for {currencies} on {date}. Revaluing these balances would value them at zero and book their whole amount as an FX loss. Create a Currency Exchange record ({currencies} → {base}) dated {date} or earlier, then reload this document.",{currencies} учун {date} санасига курс эълон қилинмаган. Бу қолдиқларни қайта баҳолаш уларни нолга тенглаштиради ва бутун суммани курс зарари сифатида ёзади. {date} ёки ундан олдинги санага Currency Exchange ёзувини ({currencies} → {base}) яратинг ва ҳужжатни қайта юкланг.
No exchange rates yet. Click Refresh now to fetch today's rates from cbu.uz.,Ҳалиғача алмаштириш курслари йўқ. cbu.uz дан бугунги курслари олиш учун Янгилаш босинг.
No expenses recorded for this invoice yet.,Бу инвойс бўйича ҳали харажат қайд этилмаган.
No field users yet,Ҳалиғача сахра фойдаланувчилари йўқ
No files attached.,Файллар бириктирилмаган.
No foreign-currency account balances found for this date.,
No freight bookings,Юк бронлари йўқ
No gate devices,
No Google service account configured (site_config: stabler_gdrive_service_account).,
No GPS-located outlets for this period.,Бу давр учун GPSли нуқталар йўқ.
No GRN checklist was provided.,Қабул варақаси кўрсатилмаган.
No GRN checklists,Қабул варақалари йўқ
No group,Гуруҳсиз
No holidays yet.,Ҳали байрамлар йўқ.
No import bills yet.,Ҳозирча импорт ҳисоб-фактуралари йўқ.
No import expenses,Импорт харажатлари йўқ
No import orders,
No installments due this month.,Бу ойда тўловлар йўқ.
No interest — fixed Murabaha markup. Sum equals total exactly.,Фоизсиз — қатъий Муробаҳа устамаси. Йиғинди аниқ жами билан тенг.
No invoices found,
No invoices found.,Ҳисоб-фактуралар топилмади.
No invoices in this range,Бу диапазонда счётлар йўқ
No items found,Товарлар топилмади
No items in this stage,Ушбу босқичда элементлар йўқ
No items match,Товарлар мос келмади
No items with submitted active BOMs yet — create one first.,Тасдиқланган фаол спецификацияли товарлар йўқ — аввал яратинг.
No items yet,Ҳозирча маҳсулотлар йўқ
No items yet.,Ҳалиғача товарлар йўқ.
No items.,Позициялар йўқ.
No journal entries in this range,Бу диапазонда журнал ёзувлари йўқ
No landed cost vouchers yet.,Ҳозирча таннарх ваучерлари йўқ.
No landed-cost bills,Таннарх ҳисоб-фактуралари йўқ
No landed-cost lines have been found.,
No lanes. Click + to add.,Йўлаклар йўқ. Қўшиш учун + босинг.
No leads,Лидлар йўқ
No leave requests,Таътил аризалари йўқ
No ledger entries found for the selected period.,Танланган давр учун книга ёзувлари топилмади.
No lines differ from the system quantity — nothing to reconcile.,
No lines yet.,Ҳалиғача сатрлар йўқ.
No linked bills yet.,Ҳозирча боғланган ҳисоб-фактуралар йўқ.
No linked documents,Боғланган ҳужжатлар йўқ
No local backups to upload. Create one first.,Юклаш учун маҳаллий захира йўқ. Аввал яратинг.
No locked employees to accrue for this period.,Бу давр учун ҳисобланадиган қулфланган ходим йўқ.
No lots registered for this tender.,Ушбу тендер учун лотлар рўйхатдан ўтмаган.
No low-stock items,Паст омбор товарлари йўқ
No matches found,Мост булганлар топилмади
No matching items,
"No matching vouchers found. Create a payment, or widen the date/amount window.",Мос ҳужжатлар топилмади. Тўлов яратинг ёки сана/сумма ойнасини кенгайтиринг.
No materials required.,
No materials to stage,
No movements yet.,Ҳозирча ҳаракатлар йўқ.
No new Version rows since the last seal.,
No open debt,очиқ қарз йўқ
No open exceptions,
No open invoices for this customer group.,Бу мижозлар гуруҳи учун очиқ ҳисоб-фактуралар йўқ.
No open proforma invoices for this supplier.,Бу етказиб берувчида очиқ проформа йўқ.
No open proforma lines for this supplier.,Бу етказиб берувчида очиқ проформа қаторлари йўқ.
No open reservations,Очиқ захиралар йўқ
No orders yet,Ҳозирча буюртмалар йўқ
No orders.,Буюртмалар йўқ.
No org chart yet,Ҳалиғача ташкилий диаграмма йўқ
No OSA audits yet,Ҳалиғача OSA аудитлари йўқ
No outlets in this route yet.,Бу маршрутда ҳалиғача сотув пунктлари йўқ.
No outlets yet,Ҳалиғача сотув пунктлари йўқ
No outlets.,Нуқталар йўқ.
No outstanding advances,Қолдиқ аванслар йўқ
No outstanding balance.,Очиқ қарз йўқ.
No outstanding balances,Туривчи қарзлар йўқ
No outstanding balances.,Тўланмаган қолдиқлар йўқ.
No outstanding salary payable.,Тўланмаган ойлик йўқ.
No overdue installments.,Муддати ўтган тўловлар йўқ.
No packing-list items yet.,Ҳозирча қадоқлаш рўйхати маҳсулотлари йўқ.
No payments are allocated to it.,Унга ҳеч қандай тўлов бириктирилмаган.
No payments due,Муддати келган тўловлар йўқ
No payments in this range,Бу диапазонда тўловлар йўқ
No payments recorded in this range,
No payments waiting for approval,Тасдиқ кутаётган тўловлар йўқ
No payroll periods yet.,Ҳали ойлик даврлари йўқ.
No payroll summaries found for this period.,
No pending decisions,Кутилаётган қарорлар йўқ
No permitted lots for this tender.,Бу тендер учун рухсат этилган лот йўқ.
No photo reports yet,Ҳали суратлар ҳақида ҳисоб йўқ
No PI advances found.,PI аванслари топилмади.
No PI group,PI гуруҳисиз
No PI group container records found.,PI гуруҳ контейнер ёзувлари топилмади.
No PI Groups,PI гуруҳлари йўқ
No planograms yet,Ҳали планограмма йўқ
No preview loaded,
No priority checks right now.,Ҳозир устувор текширувлар йўқ.
No processes,Жараёнлар йўқ
No products match that search,Бу қидирувга мос маҳсулот йўқ
No proformas linked yet,Ҳали проформа боғланмаган
No proformas yet,Ҳозирча проформалар йўқ
No promo plans yet,Ҳали рекламалаш режалари йўқ
No promo schemes yet,Ҳали рекламалаш схемалари йўқ
No punches — employee will be marked absent.,
"No purchase invoices are linked to an import container, invoice or truck yet.","Контейнер, invoys ёки юк машинасига боғланган харид ҳисоб-фактуралари йўқ."
No purchase invoices in this range,
No purchase orders have been registered for this supplier.,Бу етказиб берувчи учун харид буюртмаси рўйхатдан ўтказилмаган.
No purchase orders in the customs queue.,Божхона навбатида буюртма йўқ.
No purchase orders in this range,Бу диапазонда сотиб олиш буюртмалари йўқ
No purchase orders linked.,Боғланган харид буюртмалари йўқ.
No purchase orders match these filters.,Бу фильтрларга мос харид буюртмалари йўқ.
No purchase orders tagged to this tender yet.,Бу тендерга ҳали PO бириктирилмаган.
No purchase receipts in this range,
No quotations found.,Таклифлар топилмади.
No quotations in this range,Бу диапазонда қўллашмалар йўқ
No quotations yet,Ҳали таклифлар йўқ
No raw events,
No readiness data,
No receipts yet.,Ҳозирча қабуллар йўқ.
No receivable account configured for distributor {0} in company {1}.,Тарқатувчи {0} учун {1} компанияда қабул қилинадиган ҳисоб мосини куйилмаган.
No receivable account configured for distributor {0} in company {1}: {2},Тарқатувчи {0} учун {1} компанияда қабул қилинадиган ҳисоб мосини куйилмаган: {2}
No receivables,Қабул қилинадиган сумма йўқ
No recent transactions.,Сўнги операциялар йўқ.
No reconciliations yet.,Ҳали солиштиришлар йўқ.
No recorded activity in this period.,Бу давр учун ёзилган фаолият йўқ.
No recorded history for this document.,Бу ҳужжат учун ёзилган тарих йўқ.
No records,Ёзувлар йўқ
No records in this stage.,Бу босқичда ёзувлар йўқ.
No records yet.,Ҳозирча ёзувлар йўқ.
No remaining (unshipped) items found on this Proforma Invoice.,Бу проформада юборилмаган қолдиқ позициялар йўқ.
No repair requests,Та'миз таклифлари йўқ
No reports found,
No requests for quotation have been sent to this supplier.,Ушбу етказиб берувчига ҳали нарх сўрови юборилмаган.
No requests for quotation yet.,Ҳозирча нарх сўровлари йўқ.
No reservations for this warehouse,
"No results for ""{query}"".","""{query}"" учун натижалар йўқ."
No revaluations yet,
No RFQs created for this deal yet. Click 'Request for quotation' to raise one.,Ушбу битим учун ҳали нарх сўрови яратилмаган. 'Таклиф сўраш' тугмасини босинг.
No RFQs yet,Ҳозирча RFQ йўқ
No ROI snapshots yet,Ҳалиғача ROI суратлари йўқ
No routes yet,Ҳали маршрутлар йўқ
No rows to import.,
No rule sets,
No salaries pushed yet.,Ҳали ойликлар юборилмаган.
No Salary Expense account found for {0}. Create an Expense account ,
No Salary Payable account found for {0}. Create a Payable account ,
No salary payments yet.,Ҳали ойлик тўловлари йўқ.
No salary slips yet,Ҳали маош варақалари йўқ
No sales data found,
No sales orders in this range,Бу диапазонда сотув буюртмалари йўқ
No seal has been created yet.,
No segregation-of-duties conflicts found.,Вазифалар тақсимоти низолари топилмади.
No serial,Серия рақами йўқ
No service tickets,Мурожаатлар йўқ
No service visits,
No shipments match these filters.,Бу фильтрларга мос жўнатмалар йўқ.
No shipments yet.,Ҳозирча жўнатма йўқ.
No stage lost a lot in this window.,Бу ойнада ҳеч бир босқич лот йўқотмади.
No stages yet.,Ҳали босқичлар йўқ.
No statements imported yet.,Ҳали кўчирма импорт қилинмаган.
No step is past its own threshold today,Бугун ҳеч бир босқич ўз чегарасидан ошмади
No steps yet.,Ҳали қадамлар йўқ.
No Stock Entries with Asl Belgisi items found.,Asl Belgisi товарлари бўлган омбор ёзувлари топилмади.
No stock entries yet,Ҳали қор ёзувлари йўқ
No stock in any warehouse for this company.,Бу компания учун ҳеч қайси оммабойда қор йўқ.
No stock in this warehouse,
No stock in this warehouse.,Бу омборда захира йўқ.
No stock ledger entries found for this item.,Бу товар бўйича ҳаракатлар топилмади.
no stock movement,
No stock moves in this range,Бу диапазонда қор харакатлари йўқ
No stock update,Омбор ҳаракатсиз
No stock warehouses,
No stocked items found,
No submitted Purchase Receipts yet — a voucher cannot be created.,Ҳали тасдиқланган харид тушумлари йўқ — ваучер яратиб бўлмайди.
No submitted purchase receipts yet.,Ҳали тасдиқланган харид тушумлари йўқ.
No summaries,
No supplier bills linked yet.,Ҳали етказиб берувчи ҳисоблари боғланмаган.
No supplier quotations,Етказиб берувчилар таклифлари йўқ
No supplier quotations for this tender.,Бу тендер учун етказиб берувчи котировкалари йўқ.
No supplier quotations registered for this supplier.,Ушбу етказиб берувчи учун рўйхатдан ўтган таклифлар йўқ.
No supplier quotations tagged to this deal yet.,Ушбу битимга етказиб берувчи таклифлари ҳали бириктирилмаган.
No supplier selected,Етказиб берувчи танланмаган
No suppliers,Таъминотчилар йўқ
No suppliers match that name,Бу номга мос таъминотчилар йўқ
No tasks scheduled for today,Бугун учун режалаштирилган вазифа йўқ
No template,Шаблон йўқ
No Temporary Opening account found for {0}; add one before posting an opening balance.,
No tender activity for this period.,Бу даврда тендер фаоллиги йўқ.
No tender deals found.,Тендер битимлари топилмади.
No tender lots found.,Ҳеч қандай тендер лоти топилмади.
No tender rows for this period.,Бу давр учун тендер қаторлари йўқ.
No tenders assigned yet.,Ҳозирча бириктирилган тендер йўқ.
No tenders found,Тендерлар топилмади
No tenders found for this company.,Бу компания учун тендер топилмади.
No tenders in this stage,Ушбу босқичда тендерлар йўқ
No tenders match these filters.,Бу фильтрларга мос тендерлар йўқ.
No tenders yet.,Ҳозирча тендер йўқ.
No tickets for this unit.,Бу бирлик учун тикет йўқ.
No transactions,Операциялар йўқ
No transactions in this period.,Бу давр ичида операциялар йўқ.
No transactions yet.,Ҳали операциялар йўқ.
No transport expenses yet.,Ҳозирча ташиш харажатлари йўқ
No transport records found,Ташиш ёзувлари топилмади
No Transporter,Ташувчи йўқ
No travel,
No truck receipts yet.,Ҳозирча машина қабуллари йўқ.
No trucks,Юк машиналари йўқ
No trucks linked yet.,Ҳали юк машинаси боғланмаган.
No unallocated payments on this customer.,Бу мижозда тақсимланмаган тўловлар йўқ.
No unbilled service visits,
No unconsumed landed-cost lines to voucher.,Ваучер учун ишлатилмаган харажат қаторлари йўқ.
No unlinked transport bills found company-wide.,Компания бўйича боғланмаган транспорт ҳисоблари топилмади.
No unmatched users. All punches are mapped.,Боғланмаган фойдаланувчилар йўқ. Барча белгилашлар боғланган.
No usable exchange rate found for {0} on {1}.,{1} санасида {0} учун яроқли айирбошлаш курси топилмади.
"No usable {0} to {1} exchange rate on {2}, so {3} cannot be posted.","{2} санасида {0} дан {1} га яроқли валюта курси йўқ, шунинг учун {3} проводка қилинмайди."
No USD rate recorded for this date.,Бу сана учун USD курси киритилмаган.
No valid rows found.,Яроқли қаторлар топилмади.
No valuation history.,Баҳолаш тарихи мавжуд эмас.
no value yet,сумма ҳали йўқ
No van stock yet,Ҳали машина қори йўқ
No vendor categories yet,Ҳозирча категориялар йўқ
No verified restore on record. A backup you have never restored is not a backup you can trust — test one and record it.,
No veterinary certificate on file for this shipment.,Ушбу етказиб бериш учун ветеринария сертификати мавжуд эмас.
No veterinary certificates,Ветеринария сертификатлари йўқ
No visits,Ташрифлар йўқ
No visits yet,Ҳали қариндашликлар йўқ
No vouchers yet.,Ҳозирча ваучерлар йўқ.
No warehouses for this company,Бу компания учун омбалар йўқ
No work orders,Ишлаб чиқариш буюртмалари йўқ
No work orders assigned to you yet.,Сизга ҳали ҳеч қандай буюртма тайинланмаган.
No {0} account is set for this advance. Choose one before recording it.,Бу аванс учун «{0}» ҳисоби танланмаган. Ёзишдан олдин уни танланг.
No {0} receivable account exists for company {1}. ,{0} учун {1} компаниясида дебиторлик ҳисоби мавжуд эмас. 
No {0} {1} account exists for company {2}. ,
No-go,Бормаймиз
Non-compliant,Мос келайди
None,Йўқ
none,йўқ
none today,бугун йўқ
Normal,Оддий
normalised to the match key — same index as the reconciliation,мослик калити бўйича — солиштириш билан бир хил индекс
Nos,Йўқ
Not all quotations have landed cost estimates. Landed ranking is paused until all bids carry estimates.,Барча таклифларда етказиш харажатлари кўрсатилмаган. Етказиш бўйича рейтинг тўхтатилган.
Not assigned to a PI group,Ҳеч қандай PI гуруҳига бириктирилмаган
Not Created,Яратилмаган
Not due,Муддати келмаган
Not eligible for this group (vendor restriction or already in another group): {0},Бу гуруҳга мос эмас (етказиб берувчи чекловi ёки бошқа гуруҳда): {0}
not enough,етарли эмас
Not enough data to analyse yet.,Таҳлил учун ҳозирча маълумот етарли эмас.
Not enough stock for some materials.,Баъзи материаллар захираси етарли эмас.
Not found,Топилмади
not in HS table — enter manually,ТН ВЭД жадвалида йўқ — қўлда киритинг
not linked,боғланмаган
Not linked to any PI,Ҳеч бир ПИ га боғланмаган
Not linked to PI,ПИ га боғланмаган
Not measurable,Ўлчаб бўлмайди
not on all,ҳаммасида эмас
not on any PI,ҳеч бир PIда йўқ
Not on any PI line,Ҳеч бир ПИ қаторида йўқ
Not permitted,Рухсат йўқ
Not permitted for company {0},{0} компания учун рухсат йўқ
Not permitted for Service module.,
Not permitted to create Attendance Rule Sets.,
Not permitted to create Employee Device Mappings.,
Not permitted to create Exchange Rate Revaluation.,
Not permitted to create Gate Devices.,
Not permitted to export this report.,
Not permitted to process Timepay attendance.,
Not permitted to read Budget.,
Not permitted to read Customer: {0},
Not permitted to read GL entries.,
Not permitted to read Stock Ledger Entry,
Not permitted to read Supplier: {0},
Not permitted to read {0} {1},{0} {1} ни ўқишга рухсат йўқ
Not permitted to reconcile this voucher.,
Not permitted to reconcile {0} {1}.,
Not permitted to submit Exchange Rate Revaluation.,
Not permitted to sync Timepay attendance.,
Not permitted to view this warehouse stock.,
Not permitted to {0} {1} {2},
Not permitted — admins only.,
Not permitted.,
Not posted,ўтказилмаган
Not ready,
Not ready to lock,
Not registered,Рўйхатдан ўтмаган
not saved,сақланмаган
Not set,
not set,киритилмаган
not submitted,топширилмаган
not tracked,кузатилмайди
Not uploaded yet,Ҳали юкланмаган
Note,Изоҳ
Notes,Эслатмалар
Nothing booked yet,Ҳозирча ҳеч нарса киритилмаган
Nothing else points at this invoice.,Бу инвойсга бошқа ҳеч нарса ишора қилмайди.
Nothing else points at this proforma.,Бу проформага бошқа ҳеч нарса ишора қилмайди.
Nothing moves forward until these are answered.,Буларга жавоб берилмагунча ҳеч нарса олдинга силжимайди.
Nothing to allocate yet — add invoice items and costs first.,Ҳозирча тақсимланадиган нарса йўқ — аввал товар ва харажатларни қўшинг.
Nothing to compare.,Солиштириш учун ҳеч нарса йўқ.
Nothing to pay — selected employees have no outstanding balance.,
Nothing to reconcile — all clear.,Солиштириш учун ҳеч нарса йўқ — ҳаммаси тоза.
Nothing to show.,Кўрсатиладиган нарса йўқ.
Nothing to voucher.,Ваучерга ўтказиладиган нарса йўқ.
Numbers are read from ERP records — the rule under each says what it counted,Рақамлар ERP ёзувларидан ўқилади — остидаги қоида нимани санаганини айтади
O'lchov birlik,Ўлчов бирлиги
Object Name,Объект номи
Object Type,Объект тури
of,дан
of Docs Total to Bank,ҳужжат суммасидан банкка
of full Agreed Total via Bank,тўлиқ келишилган суммадан банк орқали
of full Agreed Total via Cash,тўлиқ келишилган суммадан нақд орқали
of PI,PIдан
of {n},{n} дан
of {value} on all {count} rows,жами {count} қатордан {value}
Off,Ўчиқ
Off PI,ПИ дан ташқарида
Off-box (Google Drive),Сервер ташқариси (Google Drive)
Off-CBU Documents,
Off-Hours Clearance,Иш вақтидан ташқари расмийлаштириш
Off-hours clearance (+25% BRV),Иш вақтидан ташқари расмийлаштириш (+25% БҲМ)
Off-hours surcharge,Иш вақтидан ташқари қўшимча
Office,
Office branch or location,
Official Bank Amount,Расмий банк суммаси
Official Docs Total,Расмий ҳужжатлар суммаси
OK,Муваффақиятли
Old — trapezoid funnel,Эски — трапецияли воронка
Oldest (days),Энг эски (кун)
Oldest queued,Энг эски навбатдаги
Oldest reservation,Энг эски захира
Ombor,Омбор
On,Ёниқ
On approval these quantities are reserved in the warehouse and cannot be given to another order.,Тасдиқлангач бу миқдорлар омборда резерв қилинади ва бошқа буюртмага берилмайди.
on budget,
On hand,Қўлда
On Hold,Тўхтатилган
On Leave,Таътилда
On leave,
On leave today,Бугун таътилда
on revenue,тушумдан
On track,Режада
On-hand batches at risk: expired and expiring soon.,Хавф остидаги партиялар: муддати ўтган ва тугаётган.
On-hand value vs sales velocity. Flags slow-moving and dead stock.,Захира қиймати савдо тезлигига нисбатан. Секин ва ўлик захира белгиланади.
On-hand value vs {0}-day sales. Dead = no sales in period.,Омбордаги қиймат {0} кунлик сотувга нисбатан. Ўлик = даврда сотув йўқ.
On-shelf availability checks from field visits.,
On-Shelf-Availability audits compare expected vs actual facings during visits.,Ўринда сотувга ҳозирлик аудитлари қариндашликлар давомида кутилган ва ҳақиқий ҷойлашув ўрнини солиштиради.
ON_BOARD,Бортда
"One business,","Бутун бизнес,"
One card per published tender — click to open child lots,Эълон қилинган ҳар бир тендер учун битта карта — лотларни очиш учун босинг
One data model,Битта маълумот модели
"one Journal Entry, clears their payable.","битта журнал ёзуви, мажбуриятни ёпади."
One or more lines exceed available stock. Reduce qty or choose a different warehouse.,Бир ёки бир нечта қаторда миқдор мавжуд захирадан кўп. Миқдорни камайтиринг ёки бошқа омборни танланг.
"One outlet per line: code or name, latitude, longitude. Comma, tab or semicolon separated.","Ҳар қаторда битта нуқта: код ёки ном, кенглик, узунлик. Вергул, табуляция ёки нуқтали вергул билан ажратилган."
one record.,битта ёзув.
one-off,бир марталик
Online payment,Онлайн тўлов
Only a Stock Manager can reconcile stock.,Фақат омбор менежери қолдиқларни солиштира олади.
Only a submitted collection can be cancelled.,Фақат тасдиқланган инкассацияни бекор қилиш мумкин.
Only Accounts Managers can reallocate a payment.,Тўловни фақат бухгалтерия менежерлари қайта тақсимлаши мумкин.
Only an Imports Manager can add a Landed Cost Voucher.,Фақат Импорт менежери етказиб бериш қиймати ваучерини қўша олади.
Only an Imports Manager can correct the {0} status backwards.,{0} ҳолатини бир қадам орқага фақат Импорт менежери қайтара олади.
Only an Imports Manager can override the veterinary certificate requirement.,Фақат импорт менежери ветеринария сертификати талабини четлаб ўтиши мумкин.
Only an Imports Manager can release a truck without customs clearance.,Божхона расмийлаштирувисиз машинани фақат импорт менежери чиқара олади.
Only Approved claims can be settled. Current status: {0},Фақат тасдиқланган даъвалар ҳал этилиши мумкин. Ҳозирги ҳолат: {0}
Only confirm after you have actually restored a backup to a scratch site and verified the data. This records today as the last successful restore test.,
Only draft Journal Entries can be deleted; cancel a submitted one instead.,
Only draft journal entries can be edited here. Submitted entries must be cancelled and amended.,
Only draft sales orders can be edited.,
Only items with available stock in this POS warehouse appear here.,
Only one entry — chart needs at least two points.,Фақат битта ёзув — график учун камида икки нуқта керак.
Only Payment Entry / Journal Entry can be reconciled here.,
Only pending schedule rows can be rescheduled.,
Only same-day collections can be cancelled by the cashier.,Кассир фақат шу кунлик инкассацияни бекор қила олади.
Only submitted customer payments can be reallocated.,Фақат тасдиқланган мижоз тўловларини қайта тақсимлаш мумкин.
Only submitted entries can be cancelled.,
Only submitted invoices can be returned.,Фақат тасдиқланган қўллашмалар қайтарилиши мумкин.
Only submitted Sales Orders can be closed.,
Only submitted Sales Orders can be reopened.,
Only with a balance,Фақат баланси борлар
Only with balance,Фақат баланс билан
Open,Очиқ
open,
Open advances,Очиқ аванслар
Open all expenses for this invoice →,Ушбу ҳисоб-фатура бўйича барча харажатларни очиш →
Open AR,Очиқ қарз
Open commercial invoices,Очиқ тижорат инвойслари
Open commitment,Очиқ мажбурият
Open commitments,Очиқ мажбуриятлар
Open comparison,Таққослашни очиш
Open container,Контейнерни очиш
Open customs work,Очиқ божхона ишлари
open deals,очиқ битим
open debt,очиқ қарз
Open Desk,Дескни очиш
Open Exceptions,
Open exceptions,
Open GRN,Қабул далолатномасини очиш
Open in report,Ҳисоботда очиш
Open items by age,Очиқ позициялар муддати бўйича
Open lot workspace,Лот иш майдонини очиш
Open lots,Очиқ лотлар
Open matrix,Жадвални очиш
Open payment link,Тўлов ҳаволасини очиш
open PI →,PI ни очиш →
Open pipeline,Очиқ воронка
Open pipeline (seen → awaiting result),Очиқ қувур (кўрилди → натижа кутилмоқда)
Open PO,Буюртмани очиш
Open profile,Профилни очиш
Open proformas (draft + confirmed),Очиқ проформалар (қоралама + тасдиқланган)
Open SREs,Очиқ SREлар
